"Level1","Level2","Level3","Level2/3 Description"
"Data Management and Organization","Format conversion","","Involves transforming spatial data between different file formats, ensuring compatibility across software and systems."
"Data Management and Organization","Index management","","Involves creating or modifying spatial and attribute indexes to optimize data retrieval and query performance."
"Data Management and Organization","Metadata editing","","Involves creating, updating, and maintaining metadata to describe spatial datasets, supporting data discovery and quality assessment."
"Data Management and Organization","Schematic diagrams","","Involves creating and managing schematic representations of spatial data, emphasizing logical connections over precise geometry."
"Data Management and Organization","Workspace organization","","Involves structuring and managing GIS workspaces, including project files, data folders, and references, to ensure consistency and efficiency."
"Data processing","Data clipping","","Extracting subsets of spatial datasets based on defined boundaries or regions."
"Data processing","Data editing","Raster data editing","Modifying raster datasets, including cell value changes, corrections, and updates."
"Data processing","Data editing","Topology editing","Modifying vector datasets to maintain or correct topological relationships, such as connectivity and adjacency."
"Data processing","Data editing","Vector data attribute editing","Editing the attributes of vector datasets, including adding, updating, or deleting fields."
"Data processing","Data editing","Vector data graph editing","Editing network or graph-based vector datasets, including nodes, edges, and connectivity attributes."
"Data processing","Data extraction","","Extracting specific data from spatial datasets, including subsets, attributes, or features of interest."
"Data processing","Geometry","","Performing geometric operations on spatial data, including buffer, intersection, union, and simplification."
"Data processing","Projection","Define projection","Assigning coordinate reference systems to spatial datasets without transforming coordinates."
"Data processing","Projection","Geometry corrections","Correcting geometric distortions or inaccuracies in spatial datasets."
"Data processing","Projection","Projection transforms","Transforming spatial datasets from one coordinate reference system to another."
"Data processing","Structural transformation","Raster to vector","Converting raster datasets into vector format for further spatial analysis or modeling."
"Data processing","Structural transformation","Vector to raster","Converting vector datasets into raster format, often for overlay, modeling, or raster analysis."
"Hydrological analysis","","",""
"Raster spatial analysis and calculation","Density analysis","","Calculates the spatial concentration of features within a raster, such as point or line density."
"Raster spatial analysis and calculation","Distance analysis","","Measures distances within raster datasets, including proximity to features or distance-based calculations."
"Raster spatial analysis and calculation","Interpolation analysis","","Generates continuous raster surfaces from discrete data points using spatial interpolation methods."
"Raster spatial analysis and calculation","Raster overlay analysis","","Combines multiple raster layers to analyze spatial relationships and derive new surfaces."
"Raster spatial analysis and calculation","Raster calculation","","Performs mathematical or logical operations on raster datasets to create new raster outputs."
"Raster spatial analysis and calculation","Reclassification","","Reassigns raster cell values based on criteria to simplify or standardize the dataset."
"Raster spatial analysis and calculation","Solar Radiation","","Calculates solar radiation values over raster surfaces for environmental modeling."
"Raster spatial analysis and calculation","Statistical analysis","Cell statistics","Calculates statistics for individual raster cells across multiple layers, such as sum, mean, minimum, and maximum."
"Raster spatial analysis and calculation","Statistical analysis","Neighborhood statistics","Computes statistics based on a raster cell's surrounding neighborhood, such as local mean, majority, or focal sum."
"Raster spatial analysis and calculation","Statistical analysis","Zonal statistics","Calculates statistics for raster cells within defined zones or regions, summarizing properties per zone."
"Raster spatial analysis and calculation","Statistical analysis","Hypothesis testing","Performs statistical tests on raster data to evaluate hypotheses, such as comparing means or distributions."
"Raster spatial analysis and calculation","Statistical analysis","Correlation and association","Analyzes relationships between raster layers, identifying correlations or spatial associations."
"Raster spatial analysis and calculation","Statistical analysis","Neighborhood statistics","This category includes operations that compute statistics or indices based on a local neighborhood around each raster cell, such as local mean, standard deviation, z-score, or deviation from neighborhood values."
"Raster spatial analysis and calculation","Surface analysis","","Analyze and process raster surfaces to derive terrain attributes (e.g., slope, aspect, hillshade, curvature) and extract or modify surface features (e.g., embankments, off-terrain objects)."
"Raster spatial analysis and calculation","Raster shape analysis","","Examines the shape, extent, and pattern of raster features for spatial characterization."
"Spatial statistical analysis and interpolation","Geostatistical analysis","Geostatistical layer management","Organizes and manages geostatistical raster layers for analysis and modeling."
"Spatial statistical analysis and interpolation","Geostatistical analysis","Spatial interpolation","Estimates unknown values at unsampled locations using spatial interpolation methods such as kriging or IDW."
"Spatial statistical analysis and interpolation","Geostatistical analysis","Sampling network design","Designs optimal spatial sampling networks to support geostatistical analysis and modeling."
"Spatial statistical analysis and interpolation","Geostatistical analysis","Simulation analysis","Performs spatial simulations to model variability and uncertainty in geostatistical data."
"Spatial statistical analysis and interpolation","Spatial statistical analysis","Cluster and pattern analysis","Identifies clustering or dispersion in spatial data, revealing hotspots, cold spots, and spatial autocorrelation. Includes methods such as nearest neighbor index, hot spot analysis, Moran’s I, General G, and incremental spatial autocorrelation."
"Spatial statistical analysis and interpolation","Spatial statistical analysis","Measuring geographic distributions","Summarizes overall spatial distributions of features using statistical measures such as mean center, directional distribution, and standard deviation ellipse."
"Spatial statistical analysis and interpolation","Spatial statistical analysis","Spatial relationship modeling","Builds models of spatial dependence to capture interactions and influences among features, commonly used for explaining or predicting geographic phenomena. Methods include spatial regression and geographically weighted regression (GWR)."
"Spatial statistical analysis and interpolation","Spatial statistical analysis","Spatial / Stratified sampling","Selects representative samples from spatial data based on geographic location or stratification rules, supporting statistical inference and spatial modeling. Commonly applied in environmental surveys and resource monitoring."
"Spatial statistical analysis and interpolation","Spatial statistical analysis","Central tendency analysis","Identifies the geographic center or representative location of a set of features. Includes tools that calculate mean center, median center, or weighted centers to summarize spatial distributions."
"Spatial statistical analysis and interpolation","Spatial statistical analysis","Spatial autocorrelation analysis","Measures the degree to which spatial features and their attributes are correlated with each other over a given distance or spatial context. Includes tools for global and incremental spatial autocorrelation, Moran’s I, and similar analyses."
"Vector spatial analysis","Network analys","Geocoding","Converts addresses or location descriptions into spatial coordinates."
"Vector spatial analysis","Network analys","Network building","Constructs network datasets from vector data for analysis."
"Vector spatial analysis","Network analys","Path analysis","Calculates shortest or optimal paths between locations in a network."
"Vector spatial analysis","Network analys","Positioning and configuration analysis","Examines network node positions and their configuration for spatial optimization."
"Vector spatial analysis","Vector overlay analysis","","Combines multiple vector layers to identify spatial intersections and relationships."
"Vector spatial analysis","Proximity analysis","","Measures distances between features or identifies nearby features within a specified range."
"Vector spatial analysis","Statistics analysis","","Computes statistical summaries and distributions for vector attributes."
"Vector spatial analysis","Tracking analysis","","Analyzes movement of objects over time and space."
"Vector spatial analysis","Vector shape analysis","","Examines geometric properties of vector features, such as length, area, and shape indices."
"Visual expression","Cartography","Annotation & Labeling","Enhances map readability and communication by annotating geographic features with text or symbols."
"Visual expression","Cartography","Cartographic refinement","Addresses symbol conflicts, masking, and visual adjustments in maps to enhance overall cartographic quality."
"Visual expression","Cartography","Data driven mapping","Employs data-driven methods (e.g., map series, grids, and graticules) to automate map production and presentation."
"Visual expression","Cartography","Generalization","Simplifies or abstracts geographic features at varying scales, retaining key characteristics while reducing visual clutter."
"Visual expression","Cartography","Representation management","Manages the styles and representations of geographic features using symbol libraries and expression rules."
"Visual expression","Graph","","Visualizes relationships, distributions, patterns or networks using graph structures."
"Remote Sensing Image Processing","Image preprocessing","Geometric correction","Corrects spatial distortions to align imagery with geographic coordinates."
"Remote Sensing Image Processing","Image preprocessing","Radiometric correction","Adjusts image pixel values to correct sensor or illumination differences."
"Remote Sensing Image Processing","Image preprocessing","Atmospheric correction","Removes atmospheric effects such as haze or scattering from imagery."
"Remote Sensing Image Processing","Image preprocessing","Orthorectification","Corrects terrain-induced distortions to produce planimetrically accurate imagery."
"Remote Sensing Image Processing","Image preprocessing","Noise removal","Reduces random or systematic noise in imagery to improve quality."
"Remote Sensing Image Processing","Band and image operations","Band arithmetic","Applies arithmetic operations across bands, such as NDVI or band ratios."
"Remote Sensing Image Processing","Band and image operations","Principal component analysis (PCA)","Reduces dimensionality of imagery to highlight dominant variance components."
"Remote Sensing Image Processing","Band and image operations","Image fusion","Combines multiple images or bands to improve spatial or spectral information."
"Remote Sensing Image Processing","Image classification","Supervised classification","Classifies imagery using user-defined training samples."
"Remote Sensing Image Processing","Image classification","Unsupervised classification","Automatically groups pixels into classes based on spectral similarity."
"Remote Sensing Image Processing","Image classification","Object-Oriented classification","Classifies images based on groups of pixels (objects) using spectral and spatial characteristics."
"Remote Sensing Image Processing","Image classification","Deep learning-based classification","Applies deep learning models to classify imagery."
"Remote Sensing Image Processing","Change and feature extraction","Change detection","Identifies areas of change between two or more images."
"Remote Sensing Image Processing","Change and feature extraction","Feature / Object extraction","Extracts geographic features such as roads, buildings, or vegetation from imagery."
"Remote Sensing Image Processing","Change and feature extraction","Texture analysis","Analyzes spatial patterns of pixel values to characterize surface texture."
"Remote Sensing Image Processing","Segmentation and detection","Image segmentation","Divides imagery into homogeneous regions based on spectral or spatial criteria."
"Remote Sensing Image Processing","Segmentation and detection","Object detection","Identifies and locates specific objects within imagery."
"Remote Sensing Image Processing","Advanced image analysis","Hyperspectral image analysis","Analyzes hyperspectral imagery to identify materials or land cover types."
"Remote Sensing Image Processing","Advanced image analysis","Multispectral image analysis","Analyzes multispectral images to extract land cover and vegetation information."
"Remote Sensing Image Processing","Advanced image analysis","3D image analysis","Processes stereo or LiDAR imagery to derive three-dimensional surface information."
"Remote Sensing Image Processing","Image enhancement","Gray-level & Contrast enhancement","Improves brightness and contrast by redistributing pixel intensity values. Includes histogram equalization, histogram matching, contrast stretching, and gamma correction. Examples: HistogramEqualization, HistogramMatching, MinMaxContrastStretch."
"Remote Sensing Image Processing","Image enhancement","Color & Multispectral enhancement","Enhances visual representation of RGB, multispectral, or hyperspectral images through band combination, color balancing, PCA, or ratio transformations."
"Remote Sensing Image Processing","Image enhancement","Spatial and neighborhood enhancement","Enhances local features using neighborhood-based processing, such as adaptive histogram equalization, local contrast stretching, or neighborhood statistics."
"Remote Sensing Image Processing","Image enhancement","Multiscale and Multi-resolution enhancement","Uses multi-scale representations (e.g., wavelet transform, pyramid decomposition) to enhance features at different spatial resolutions. Examples: wavelet enhancement, multiscale Retinex."
"Remote Sensing Image Processing","Image enhancement","Model-based enhancement","Enhances images using physical or sensor models, such as atmospheric correction, reflectance estimation, or sensor response adjustment. Common in remote sensing preprocessing."
"Remote Sensing Image Processing","Image enhancement","Adaptive and learning-based enhancement","Adjusts enhancement dynamically based on local features or learning models (e.g., machine learning, deep learning). Examples include deep-learning super-resolution and adaptive histogram equalization."
"Remote Sensing Image Processing","Image filtering / edge detection","Smoothing / Denoising filters","Filters that suppress noise and smooth raster images. Examples include mean, median, Gaussian, and Lee Sigma filters."
"Remote Sensing Image Processing","Image filtering / edge detection","Sharpening filters","Filters that enhance image details and emphasize transitions, making features more distinct. Examples include high-pass, emboss, and unsharp masking filters."
"Remote Sensing Image Processing","Image filtering / edge detection","Edge detection filters","Filters that highlight areas of strong intensity change, extracting object boundaries. Examples include Sobel, Prewitt, and Canny operators."
"Remote Sensing Image Processing","Image filtering / edge detection","Directional / Oriented filters","Filters that detect or enhance features in specific orientations, such as vertical, horizontal, or diagonal lines. Examples include line-detection filters."
"Remote Sensing Image Processing","Image filtering / edge detection","Frequency Domain filters","Filters applied in the frequency domain (e.g., Fourier or wavelet transforms) to separate or enhance image components at different frequency bands."
"Remote Sensing Image Processing","Image filtering / edge detection","Anisotropic filters","Advanced filters that reduce noise while preserving edges or textures, often used in remote sensing for speckle noise reduction. Examples include bilateral and anisotropic diffusion filters."
