Level 1,Level 2,Level 3,Level 1 Description,Level 2 Description,Level 3 Description,Level 2 InputType,Level 2 OutputType,Level 3 InputType,Level 3 OutputType
Data Management and Organization,Workspace organization,,"Involves the organization, maintenance, and handling of spatial datasets to ensure data integrity, accessibility, and efficient processing across GIS workflows.","Involves structuring and managing GIS workspaces, including project files, data folders, and references, to ensure consistency and efficiency.",,Mixed,Mixed,Mixed,Mixed
Data processing,Data clipping,,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.",Extracting subsets of spatial datasets based on defined boundaries or regions.,,Mixed,Mixed,Mixed,Mixed
Data processing,Data editing,Raster data editing,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Modifying spatial datasets to correct, update, or enhance data quality, including raster and vector edits.","Modifying raster datasets, including cell value changes, corrections, and updates.",Raster,Raster,Raster,Raster
Data processing,Data editing,Topology editing,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Modifying spatial datasets to correct, update, or enhance data quality, including raster and vector edits.","Modifying vector datasets to maintain or correct topological relationships, such as connectivity and adjacency.",Vector,Vector,Vector,Vector
Data processing,Data editing,Vector data attribute editing,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Modifying spatial datasets to correct, update, or enhance data quality, including raster and vector edits.","Editing the attributes of vector datasets, including adding, updating, or deleting fields.",Vector,Vector,Vector,Vector
Data processing,Data editing,Vector data graph editing,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Modifying spatial datasets to correct, update, or enhance data quality, including raster and vector edits.","Editing network or graph-based vector datasets, including nodes, edges, and connectivity attributes.",Vector,Vector,Vector,Vector
Data processing,Data extraction,,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Extracting specific data from spatial datasets, including subsets, attributes, or features of interest.",,Mixed,Mixed,Mixed,Mixed
Data processing,Geometry,,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Performing geometric operations on spatial data, including buffer, intersection, union, and simplification.",,Vector,Vector,Vector,Vector
Data processing,Projection,Define projection,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Managing coordinate reference systems, including defining, correcting, or transforming projections.",Assigning coordinate reference systems to spatial datasets without transforming coordinates.,Mixed,Mixed,Mixed,Mixed
Data processing,Projection,Geometry corrections,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Managing coordinate reference systems, including defining, correcting, or transforming projections.",Correcting geometric distortions or inaccuracies in spatial datasets.,Vector,Vector,Vector,Vector
Data processing,Projection,Projection transforms,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Managing coordinate reference systems, including defining, correcting, or transforming projections.",Transforming spatial datasets from one coordinate reference system to another.,Mixed,Mixed,Mixed,Mixed
Data processing,Structural transformation,Raster to vector,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Transforming spatial data structures, such as converting between raster and vector formats, to support different analysis workflows.",Converting raster datasets into vector format for further spatial analysis or modeling.,Raster,Vector,Raster,Vector
Data processing,Structural transformation,Vector to raster,"Involves operations applied to spatial datasets to manipulate, extract, or transform data for further analysis and modeling.","Transforming spatial data structures, such as converting between raster and vector formats, to support different analysis workflows.","Converting vector datasets into raster format, often for overlay, modeling, or raster analysis.",Vector,Raster,Vector,Raster
Hydrological analysis,,,Analyzes water flow and accumulation over terrain surfaces to support hydrological modeling and watershed management.,,,Mixed,Mixed,,
Raster spatial analysis and calculation,Density analysis,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Calculates the spatial concentration of features within a raster, such as point or line density.",,Vector,Raster,,
Raster spatial analysis and calculation,Distance analysis,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Measures distances within raster datasets, including proximity to features or distance-based calculations.",,Raster,Raster,,
Raster spatial analysis and calculation,Interpolation analysis,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.",Generates continuous raster surfaces from discrete data points using spatial interpolation methods.,,Vector,Raster,,
Raster spatial analysis and calculation,Raster overlay analysis,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.",Combines multiple raster layers to analyze spatial relationships and derive new surfaces.,,Raster,Raster,,
Raster spatial analysis and calculation,Raster calculation,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.",Performs mathematical or logical operations on raster datasets to create new raster outputs.,,Raster,Raster,,
Raster spatial analysis and calculation,Reclassification,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.",Reassigns raster cell values based on criteria to simplify or standardize the dataset.,,Raster,Raster,,
Raster spatial analysis and calculation,Solar Radiation,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.",Calculates solar radiation values over raster surfaces for environmental modeling.,,Raster,Raster,,
Raster spatial analysis and calculation,Statistical analysis,Cell statistics,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Computes statistics for raster datasets, including cell statistics, neighborhood, zonal, correlation, and hypothesis testing.","Calculates statistics for individual raster cells across multiple layers, such as sum, mean, minimum, and maximum.",Raster,Raster,Raster,Raster
Raster spatial analysis and calculation,Statistical analysis,Neighborhood statistics,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Computes statistics for raster datasets, including cell statistics, neighborhood, zonal, correlation, and hypothesis testing.","Computes statistics based on a raster cell's surrounding neighborhood, such as local mean, majority, or focal sum.",Raster,Raster,Raster,Raster
Raster spatial analysis and calculation,Statistical analysis,Zonal statistics,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Computes statistics for raster datasets, including cell statistics, neighborhood, zonal, correlation, and hypothesis testing.","Calculates statistics for raster cells within defined zones or regions, summarizing properties per zone.",Raster,Table,Raster,Table
Raster spatial analysis and calculation,Statistical analysis,Hypothesis testing,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Computes statistics for raster datasets, including cell statistics, neighborhood, zonal, correlation, and hypothesis testing.","Performs statistical tests on raster data to evaluate hypotheses, such as comparing means or distributions.",Raster,Table,Raster,Table
Raster spatial analysis and calculation,Statistical analysis,Correlation and association,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Computes statistics for raster datasets, including cell statistics, neighborhood, zonal, correlation, and hypothesis testing.","Analyzes relationships between raster layers, identifying correlations or spatial associations.",Raster,Table,Raster,Table
Raster spatial analysis and calculation,Surface analysis,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Analyze and process raster surfaces to derive terrain attributes (e.g., slope, aspect, hillshade, curvature) and extract or modify surface features (e.g., embankments, off-terrain objects).",,Raster,Raster,Raster,Raster
Raster spatial analysis and calculation,Raster shape analysis,,"Performs analytical operations on raster datasets to derive new surfaces, compute statistics, and perform spatial modeling.","Examines the shape, extent, and pattern of raster features for spatial characterization.",,Raster,Raster,,
Spatial statistical analysis and interpolation,Geostatistical analysis,Geostatistical layer management,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.",Analyzes spatially correlated data using geostatistical methods to estimate values at unsampled locations.,Organizes and manages geostatistical raster layers for analysis and modeling.,Raster,Raster,Raster,Raster
Spatial statistical analysis and interpolation,Geostatistical analysis,Spatial interpolation,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.",Analyzes spatially correlated data using geostatistical methods to estimate values at unsampled locations.,Estimates unknown values at unsampled locations using spatial interpolation methods such as kriging or IDW.,Vector,Raster,Vector,Raster
Spatial statistical analysis and interpolation,Geostatistical analysis,Sampling network design,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.",Analyzes spatially correlated data using geostatistical methods to estimate values at unsampled locations.,Designs optimal spatial sampling networks to support geostatistical analysis and modeling.,Vector,Vector,Vector,Vector
Spatial statistical analysis and interpolation,Geostatistical analysis,Simulation analysis,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.",Analyzes spatially correlated data using geostatistical methods to estimate values at unsampled locations.,Performs spatial simulations to model variability and uncertainty in geostatistical data.,Raster,Raster,Raster,Raster
Spatial statistical analysis and interpolation,Spatial statistical analysis,Cluster and pattern analysis,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.","Applies statistical methods to quantify and interpret spatial distributions, clustering patterns, and relationships among geographic features. These tools identify spatial autocorrelation, analyze spatial structures, build spatial dependency models, and support evidence-based decision-making.","Identifies clustering or dispersion in spatial data, revealing hotspots, cold spots, and spatial autocorrelation. Includes methods such as nearest neighbor index, hot spot analysis, Moran¡¯s I, General G, and incremental spatial autocorrelation.",Vector,Vector,Vector,Vector
Spatial statistical analysis and interpolation,Spatial statistical analysis,Measuring geographic distributions,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.","Applies statistical methods to quantify and interpret spatial distributions, clustering patterns, and relationships among geographic features. These tools identify spatial autocorrelation, analyze spatial structures, build spatial dependency models, and support evidence-based decision-making.","Summarizes overall spatial distributions of features using statistical measures such as mean center, directional distribution, and standard deviation ellipse.",Vector,Vector,Vector,Vector
Spatial statistical analysis and interpolation,Spatial statistical analysis,Spatial relationship modeling,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.","Applies statistical methods to quantify and interpret spatial distributions, clustering patterns, and relationships among geographic features. These tools identify spatial autocorrelation, analyze spatial structures, build spatial dependency models, and support evidence-based decision-making.","Builds models of spatial dependence to capture interactions and influences among features, commonly used for explaining or predicting geographic phenomena. Methods include spatial regression and geographically weighted regression (GWR).",Vector,Vector,Vector,Vector
Spatial statistical analysis and interpolation,Spatial statistical analysis,Spatial / Stratified sampling,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.","Applies statistical methods to quantify and interpret spatial distributions, clustering patterns, and relationships among geographic features. These tools identify spatial autocorrelation, analyze spatial structures, build spatial dependency models, and support evidence-based decision-making.","Selects representative samples from spatial data based on geographic location or stratification rules, supporting statistical inference and spatial modeling. Commonly applied in environmental surveys and resource monitoring.",Vector,Vector,Vector,Vector
Spatial statistical analysis and interpolation,Spatial statistical analysis,Central tendency analysis,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.","Applies statistical methods to quantify and interpret spatial distributions, clustering patterns, and relationships among geographic features. These tools identify spatial autocorrelation, analyze spatial structures, build spatial dependency models, and support evidence-based decision-making.","Identifies the geographic center or representative location of a set of features. Includes tools that calculate mean center, median center, or weighted centers to summarize spatial distributions.",,,,
Spatial statistical analysis and interpolation,Spatial statistical analysis,Spatial autocorrelation analysis,"Applies statistical and geostatistical methods to analyze spatial patterns, relationships, and to interpolate values across geographic areas.","Applies statistical methods to quantify and interpret spatial distributions, clustering patterns, and relationships among geographic features. These tools identify spatial autocorrelation, analyze spatial structures, build spatial dependency models, and support evidence-based decision-making.","Measures the degree to which spatial features and their attributes are correlated with each other over a given distance or spatial context. Includes tools for global and incremental spatial autocorrelation, Moran¡¯s I, and similar analyses.",,,,
Vector spatial analysis,Network analys,Geocoding,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.","Analyzes connectivity, paths, and flow within spatial networks.",Converts addresses or location descriptions into spatial coordinates.,Table,Vector,Table,Vector
Vector spatial analysis,Network analys,Network building,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.","Analyzes connectivity, paths, and flow within spatial networks.",Constructs network datasets from vector data for analysis.,Vector,Vector,Vector,Vector
Vector spatial analysis,Network analys,Path analysis,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.","Analyzes connectivity, paths, and flow within spatial networks.",Calculates shortest or optimal paths between locations in a network.,Vector,Vector,Vector,Vector
Vector spatial analysis,Network analys,Positioning and configuration analysis,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.","Analyzes connectivity, paths, and flow within spatial networks.",Examines network node positions and their configuration for spatial optimization.,Vector,Vector,Vector,Vector
Vector spatial analysis,Vector overlay analysis,,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.",Combines multiple vector layers to identify spatial intersections and relationships.,,Vector,Vector,Vector,Vector
Vector spatial analysis,Proximity analysis,,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.",Measures distances between features or identifies nearby features within a specified range.,,Vector,Vector,Vector,Vector
Vector spatial analysis,Statistics analysis,,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.",Computes statistical summaries and distributions for vector attributes.,,Vector,Vector,Vector,Vector
Vector spatial analysis,Tracking analysis,,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.",Analyzes movement of objects over time and space.,,Vector,Vector,Vector,Vector
Vector spatial analysis,Vector shape analysis,,"Analyzes spatial relationships, patterns, and properties of vector data, supporting network analysis, overlay, proximity, and attribute-based analysis.","Examines geometric properties of vector features, such as length, area, and shape indices.",,,Vector,Vector,
Visual expression,Cartography,Annotation & Labeling,"Focuses on representing spatial data visually, including cartography, graphic representation, and dynamic visualization of geographic information.","Emphasizes map design and expression, covering symbolization, layout, labeling, generalization, and refinement to ensure maps are both visually appealing and accurate in conveying geographic information.",Enhances map readability and communication by annotating geographic features with text or symbols.,Vector,Vector,Vector,Vector
Visual expression,Cartography,Cartographic refinement,"Focuses on representing spatial data visually, including cartography, graphic representation, and dynamic visualization of geographic information.","Emphasizes map design and expression, covering symbolization, layout, labeling, generalization, and refinement to ensure maps are both visually appealing and accurate in conveying geographic information.","Addresses symbol conflicts, masking, and visual adjustments in maps to enhance overall cartographic quality.",Vector,Vector,Vector,Vector
Visual expression,Cartography,Data driven mapping,"Focuses on representing spatial data visually, including cartography, graphic representation, and dynamic visualization of geographic information.","Emphasizes map design and expression, covering symbolization, layout, labeling, generalization, and refinement to ensure maps are both visually appealing and accurate in conveying geographic information.","Employs data-driven methods (e.g., map series, grids, and graticules) to automate map production and presentation.",Vector,Vector,Vector,Vector
Visual expression,Cartography,Generalization,"Focuses on representing spatial data visually, including cartography, graphic representation, and dynamic visualization of geographic information.","Emphasizes map design and expression, covering symbolization, layout, labeling, generalization, and refinement to ensure maps are both visually appealing and accurate in conveying geographic information.","Simplifies or abstracts geographic features at varying scales, retaining key characteristics while reducing visual clutter.",Vector,Vector,Vector,Vector
Visual expression,Cartography,Representation management,"Focuses on representing spatial data visually, including cartography, graphic representation, and dynamic visualization of geographic information.","Emphasizes map design and expression, covering symbolization, layout, labeling, generalization, and refinement to ensure maps are both visually appealing and accurate in conveying geographic information.",Manages the styles and representations of geographic features using symbol libraries and expression rules.,Vector,Vector,Vector,Vector
Visual expression,Graph,,"Focuses on representing spatial data visually, including cartography, graphic representation, and dynamic visualization of geographic information.","Visualizes relationships, distributions, patterns or networks using graph structures.",,Table,Table,Table,Table
Remote Sensing Image Processing,Image preprocessing,Geometric correction,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Prepares raw imagery for analysis by correcting geometric, radiometric, or atmospheric distortions.",Corrects spatial distortions to align imagery with geographic coordinates.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image preprocessing,Radiometric correction,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Prepares raw imagery for analysis by correcting geometric, radiometric, or atmospheric distortions.",Adjusts image pixel values to correct sensor or illumination differences.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image preprocessing,Atmospheric correction,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Prepares raw imagery for analysis by correcting geometric, radiometric, or atmospheric distortions.",Removes atmospheric effects such as haze or scattering from imagery.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image preprocessing,Orthorectification,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Prepares raw imagery for analysis by correcting geometric, radiometric, or atmospheric distortions.",Corrects terrain-induced distortions to produce planimetrically accurate imagery.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image preprocessing,Noise removal,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Prepares raw imagery for analysis by correcting geometric, radiometric, or atmospheric distortions.",Reduces random or systematic noise in imagery to improve quality.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Band and image operations,Band arithmetic,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Performs mathematical operations on spectral bands to derive indices or enhance features.,"Applies arithmetic operations across bands, such as NDVI or band ratios.",Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Band and image operations,Principal component analysis (PCA),"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Performs mathematical operations on spectral bands to derive indices or enhance features.,Reduces dimensionality of imagery to highlight dominant variance components.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Band and image operations,Image fusion,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Performs mathematical operations on spectral bands to derive indices or enhance features.,Combines multiple images or bands to improve spatial or spectral information.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image classification,Supervised classification,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Assigns pixels to land cover classes based on spectral, spatial, or temporal characteristics.",Classifies imagery using user-defined training samples.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image classification,Unsupervised classification,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Assigns pixels to land cover classes based on spectral, spatial, or temporal characteristics.",Automatically groups pixels into classes based on spectral similarity.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image classification,Object-Oriented classification,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Assigns pixels to land cover classes based on spectral, spatial, or temporal characteristics.",Classifies images based on groups of pixels (objects) using spectral and spatial characteristics.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image classification,Deep learning-based classification,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Assigns pixels to land cover classes based on spectral, spatial, or temporal characteristics.",Applies deep learning models to classify imagery.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Change and feature extraction,Change detection,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Detects changes over time or extracts specific features from imagery.,Identifies areas of change between two or more images.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Change and feature extraction,Feature / Object extraction,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Detects changes over time or extracts specific features from imagery.,"Extracts geographic features such as roads, buildings, or vegetation from imagery.",Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Change and feature extraction,Texture analysis,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Detects changes over time or extracts specific features from imagery.,Analyzes spatial patterns of pixel values to characterize surface texture.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Segmentation and detection,Image segmentation,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Partitions imagery into meaningful regions or detects specific objects.,Divides imagery into homogeneous regions based on spectral or spatial criteria.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Segmentation and detection,Object detection,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Partitions imagery into meaningful regions or detects specific objects.,Identifies and locates specific objects within imagery.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Advanced image analysis,Hyperspectral image analysis,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Applies advanced techniques to extract complex information from imagery.,Analyzes hyperspectral imagery to identify materials or land cover types.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Advanced image analysis,Multispectral image analysis,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Applies advanced techniques to extract complex information from imagery.,Analyzes multispectral images to extract land cover and vegetation information.,Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Advanced image analysis,3D image analysis,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.",Applies advanced techniques to extract complex information from imagery.,Processes stereo or LiDAR imagery to derive three-dimensional surface information.,Raster,3D,Raster,3D
Remote Sensing Image Processing,Image enhancement,Gray-level & Contrast enhancement,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image visual quality or feature separability through gray-level, color, spatial, or frequency domain operations. These methods modify visual or statistical characteristics without changing the geometric structure.","Improves brightness and contrast by redistributing pixel intensity values. Includes histogram equalization, histogram matching, contrast stretching, and gamma correction. Examples: HistogramEqualization, HistogramMatching, MinMaxContrastStretch.",Raster,Raster,Raster,Raster
